respID,qID,altID,obsID,price,portion_size,smell,Nutrition,texture
2,4,3,14,6.99,3,Peanutbutter,18%,Crumbly
2,5,1,15,9.99,3,Peanutbutter,22%,Hard
2,5,2,15,15,5,Neutral,18%,Hard
2,5,3,15,15,1.5,Peanutbutter,18%,Crumbly
2,6,1,16,15,1.5,Neutral,20%,Hard
2,6,2,16,15,1.5,Neutral,22%,Hard
2,6,3,16,15,3,Peanutbutter,20%,Hard
2,7,1,17,9.99,3,Neutral,22%,Crumbly
2,7,2,17,9.99,5,Peanutbutter,20%,Hard
2,7,3,17,9.99,3,Peanutbutter,20%,Crumbly
2,8,1,18,6.99,5,Neutral,22%,Hard
2,8,2,18,15,5,Neutral,22%,Hard
2,8,3,18,6.99,5,Peanutbutter,22%,Crumbly
2,9,1,19,15,5,Neutral,22%,Hard
2,9,2,19,9.99,5,Neutral,20%,Hard
2,9,3,19,9.99,1.5,Neutral,18%,Hard
2,10,1,20,6.99,3,Neutral,20%,Hard
2,10,2,20,9.99,5,Peanutbutter,22%,Hard
2,10,3,20,15,3,Peanutbutter,18%,Crumbly
3,1,1,21,6.99,3,Neutral,18%,Hard
3,1,2,21,15,3,Peanutbutter,20%,Hard
3,1,3,21,9.99,5,Neutral,20%,Crumbly
3,2,1,22,9.99,3,Peanutbutter,18%,Crumbly
3,2,2,22,15,5,Peanutbutter,20%,Crumbly
3,2,3,22,9.99,1.5,Neutral,20%,Hard
3,3,1,23,15,3,Neutral,20%,Crumbly
3,3,2,23,6.99,3,Peanutbutter,18%,Crumbly
3,3,3,23,15,3,Neutral,18%,Hard
3,4,1,24,15,3,Neutral,18%,Hard
3,4,2,24,6.99,3,Neutral,18%,Crumbly
3,4,3,24,15,5,Neutral,20%,Crumbly
3,5,1,25,9.99,1.5,Peanutbutter,18%,Crumbly
3,5,2,25,15,1.5,Neutral,22%,Crumbly
3,5,3,25,6.99,3,Peanutbutter,20%,Crumbly
3,6,1,26,9.99,1.5,Peanutbutter,20%,Hard
3,6,2,26,15,5,Peanutbutter,18%,Hard
3,6,3,26,9.99,3,Neutral,20%,Crumbly
3,7,1,27,9.99,1.5,Peanutbutter,18%,Crumbly
3,7,2,27,15,5,Peanutbutter,20%,Hard
3,7,3,27,15,5,Neutral,18%,Hard
3,8,1,28,9.99,3,Neutral,18%,Hard
3,8,2,28,9.99,5,Neutral,18%,Hard
3,8,3,28,15,1.5,Neutral,18%,Crumbly
3,9,1,29,9.99,5,Neutral,18%,Hard
3,9,2,29,6.99,5,Neutral,18%,Crumbly
3,9,3,29,15,1.5,Peanutbutter,18%,Crumbly
3,10,1,30,9.99,1.5,Neutral,22%,Crumbly
3,10,2,30,9.99,3,Neutral,22%,Crumbly
3,10,3,30,6.99,3,Neutral,22%,Crumbly
4,1,1,31,15,3,Neutral,18%,Hard
4,1,2,31,6.99,5,Neutral,22%,Hard
4,1,3,31,6.99,1.5,Neutral,22%,Crumbly
4,2,1,32,15,5,Peanutbutter,20%,Crumbly
4,2,2,32,15,5,Peanutbutter,20%,Hard
4,2,3,32,9.99,3,Peanutbutter,20%,Crumbly
4,3,1,33,9.99,3,Neutral,18%,Crumbly
4,3,2,33,9.99,5,Peanutbutter,18%,Crumbly
4,3,3,33,9.99,5,Peanutbutter,22%,Crumbly
4,4,1,34,6.99,3,Neutral,20%,Crumbly
4,4,2,34,15,1.5,Peanutbutter,20%,Hard
4,4,3,34,6.99,5,Peanutbutter,22%,Crumbly
4,5,1,35,15,5,Peanutbutter,18%,Crumbly
4,5,2,35,15,5,Neutral,18%,Hard
4,5,3,35,15,3,Neutral,18%,Hard
4,6,1,36,6.99,3,Peanutbutter,20%,Hard
4,6,2,36,9.99,1.5,Peanutbutter,18%,Hard
4,6,3,36,9.99,3,Peanutbutter,20%,Crumbly
4,7,1,37,9.99,3,Peanutbutter,22%,Crumbly
4,7,2,37,9.99,3,Peanutbutter,20%,Hard
4,7,3,37,6.99,3,Peanutbutter,20%,Hard
4,8,1,38,9.99,3,Peanutbutter,22%,Hard
4,8,2,38,9.99,5,Neutral,20%,Crumbly
4,8,3,38,15,1.5,Peanutbutter,18%,Crumbly
4,9,1,39,9.99,3,Neutral,18%,Crumbly
4,9,2,39,15,5,Peanutbutter,18%,Hard
4,9,3,39,9.99,3,Neutral,20%,Hard
4,10,1,40,9.99,5,Neutral,20%,Hard
4,10,2,40,15,3,Peanutbutter,22%,Hard
4,10,3,40,9.99,5,Peanutbutter,22%,Hard
5,1,1,41,9.99,1.5,Peanutbutter,18%,Hard
5,1,2,41,6.99,5,Peanutbutter,18%,Hard
5,1,3,41,6.99,5,Neutral,18%,Hard
5,2,1,42,6.99,5,Peanutbutter,22%,Crumbly
5,2,2,42,9.99,3,Neutral,20%,Hard
5,2,3,42,9.99,1.5,Neutral,22%,Crumbly
5,3,1,43,6.99,5,Neutral,20%,Crumbly
5,3,2,43,6.99,5,Neutral,18%,Crumbly
5,3,3,43,9.99,1.5,Neutral,22%,Crumbly
5,4,1,44,9.99,1.5,Peanutbutter,20%,Crumbly
5,4,2,44,15,5,Neutral,22%,Hard
5,4,3,44,6.99,5,Peanutbutter,22%,Hard
5,5,1,45,15,5,Peanutbutter,20%,Crumbly
5,5,2,45,6.99,5,Peanutbutter,20%,Crumbly
5,5,3,45,6.99,1.5,Neutral,18%,Crumbly
5,6,1,46,15,1.5,Peanutbutter,20%,Crumbly
5,6,2,46,15,5,Peanutbutter,20%,Hard
5,6,3,46,6.99,1.5,Peanutbutter,22%,Crumbly
5,7,1,47,6.99,3,Neutral,20%,Hard
5,7,2,47,15,3,Peanutbutter,18%,Hard
5,7,3,47,15,3,Peanutbutter,22%,Crumbly
5,8,1,48,6.99,1.5,Peanutbutter,18%,Crumbly
5,8,2,48,15,1.5,Neutral,22%,Crumbly
5,8,3,48,9.99,3,Peanutbutter,20%,Crumbly
5,9,1,49,15,1.5,Peanutbutter,22%,Hard
5,9,2,49,6.99,3,Neutral,20%,Hard
5,9,3,49,6.99,1.5,Peanutbutter,20%,Hard
5,10,1,50,15,1.5,Peanutbutter,22%,Crumbly
5,10,2,50,15,3,Neutral,18%,Hard
5,10,3,50,6.99,5,Neutral,20%,Crumbly
6,1,1,51,9.99,1.5,Peanutbutter,20%,Crumbly
6,1,2,51,6.99,5,Peanutbutter,20%,Hard
6,1,3,51,15,3,Neutral,22%,Crumbly
6,2,1,52,9.99,1.5,Peanutbutter,18%,Crumbly
6,2,2,52,6.99,3,Peanutbutter,18%,Crumbly
6,2,3,52,9.99,3,Neutral,22%,Crumbly
6,3,1,53,9.99,5,Neutral,18%,Hard
6,3,2,53,9.99,5,Neutral,22%,Crumbly
6,3,3,53,15,1.5,Neutral,18%,Crumbly
6,4,1,54,15,3,Peanutbutter,20%,Hard
6,4,2,54,9.99,1.5,Neutral,20%,Hard
6,4,3,54,9.99,1.5,Neutral,22%,Hard
6,5,1,55,6.99,3,Neutral,22%,Crumbly
6,5,2,55,9.99,5,Peanutbutter,20%,Crumbly
6,5,3,55,9.99,5,Peanutbutter,22%,Crumbly
6,6,1,56,15,1.5,Peanutbutter,22%,Crumbly
6,6,2,56,15,1.5,Neutral,20%,Crumbly
6,6,3,56,9.99,3,Neutral,22%,Crumbly
6,7,1,57,6.99,5,Peanutbutter,20%,Crumbly
6,7,2,57,15,5,Peanutbutter,18%,Crumbly
6,7,3,57,9.99,5,Neutral,22%,Hard
6,8,1,58,9.99,1.5,Neutral,22%,Hard
6,8,2,58,6.99,3,Peanutbutter,22%,Hard
6,8,3,58,6.99,3,Peanutbutter,20%,Crumbly
6,9,1,59,15,5,Neutral,18%,Crumbly
6,9,2,59,9.99,5,Neutral,18%,Hard
6,9,3,59,9.99,3,Peanutbutter,18%,Hard
6,10,1,60,6.99,1.5,Peanutbutter,20%,Hard
6,10,2,60,9.99,3,Peanutbutter,18%,Crumbly
6,10,3,60,15,3,Peanutbutter,20%,Crumbly
7,1,1,61,6.99,3,Neutral,22%,Crumbly
7,1,2,61,9.99,1.5,Neutral,22%,Hard
7,1,3,61,9.99,5,Peanutbutter,20%,Hard
7,2,1,62,6.99,5,Neutral,20%,Crumbly
7,2,2,62,6.99,1.5,Neutral,18%,Hard
7,2,3,62,6.99,1.5,Neutral,22%,Hard
7,3,1,63,9.99,3,Neutral,22%,Crumbly
7,3,2,63,9.99,5,Neutral,20%,Hard
7,3,3,63,6.99,5,Neutral,22%,Hard
7,4,1,64,9.99,3,Neutral,18%,Crumbly
7,4,2,64,9.99,1.5,Peanutbutter,22%,Hard
7,4,3,64,6.99,1.5,Neutral,20%,Hard
7,5,1,65,6.99,3,Neutral,18%,Hard
7,5,2,65,6.99,5,Peanutbutter,22%,Crumbly
7,5,3,65,15,5,Neutral,18%,Crumbly
7,6,1,66,15,5,Neutral,18%,Crumbly
7,6,2,66,6.99,3,Peanutbutter,20%,Hard
7,6,3,66,9.99,5,Neutral,20%,Hard
7,7,1,67,15,3,Neutral,20%,Hard
7,7,2,67,6.99,3,Neutral,22%,Crumbly
7,7,3,67,15,1.5,Peanutbutter,18%,Hard
7,8,1,68,6.99,3,Neutral,20%,Hard
7,8,2,68,9.99,3,Neutral,20%,Hard
7,8,3,68,15,5,Neutral,20%,Crumbly
7,9,1,69,6.99,3,Neutral,18%,Hard
7,9,2,69,15,1.5,Peanutbutter,22%,Crumbly
7,9,3,69,9.99,1.5,Neutral,22%,Hard
7,10,1,70,9.99,1.5,Neutral,18%,Crumbly
7,10,2,70,15,1.5,Neutral,20%,Hard
7,10,3,70,6.99,5,Peanutbutter,22%,Crumbly
8,1,1,71,6.99,1.5,Peanutbutter,20%,Hard
8,1,2,71,15,1.5,Peanutbutter,18%,Hard
8,1,3,71,6.99,1.5,Peanutbutter,18%,Crumbly
8,2,1,72,15,1.5,Neutral,20%,Crumbly
8,2,2,72,9.99,1.5,Peanutbutter,22%,Crumbly
8,2,3,72,15,1.5,Neutral,18%,Crumbly
8,3,1,73,15,3,Neutral,18%,Hard
8,3,2,73,9.99,5,Neutral,18%,Crumbly
8,3,3,73,6.99,3,Peanutbutter,20%,Crumbly
8,4,1,74,6.99,3,Peanutbutter,20%,Hard
8,4,2,74,15,1.5,Neutral,22%,Hard
8,4,3,74,6.99,3,Neutral,18%,Crumbly
8,5,1,75,6.99,3,Neutral,18%,Hard
8,5,2,75,15,1.5,Neutral,22%,Hard
8,5,3,75,9.99,3,Neutral,18%,Hard
8,6,1,76,9.99,5,Neutral,20%,Hard
8,6,2,76,9.99,1.5,Neutral,18%,Hard
8,6,3,76,15,1.5,Peanutbutter,22%,Crumbly
8,7,1,77,6.99,3,Peanutbutter,20%,Crumbly
8,7,2,77,15,3,Neutral,20%,Crumbly
8,7,3,77,9.99,1.5,Peanutbutter,20%,Hard
8,8,1,78,9.99,5,Neutral,18%,Hard
8,8,2,78,15,5,Neutral,22%,Crumbly
8,8,3,78,15,1.5,Neutral,20%,Crumbly
8,9,1,79,9.99,3,Neutral,22%,Hard
8,9,2,79,6.99,3,Peanutbutter,22%,Hard
8,9,3,79,9.99,1.5,Peanutbutter,20%,Hard
8,10,1,80,15,5,Peanutbutter,20%,Crumbly
8,10,2,80,6.99,3,Neutral,22%,Hard
8,10,3,80,9.99,5,Peanutbutter,22%,Hard
9,1,1,81,15,1.5,Neutral,20%,Hard
9,1,2,81,9.99,5,Neutral,22%,Hard
9,1,3,81,9.99,3,Peanutbutter,22%,Hard
9,2,1,82,9.99,1.5,Neutral,18%,Hard
9,2,2,82,9.99,5,Neutral,18%,Crumbly
9,2,3,82,15,1.5,Neutral,18%,Crumbly
9,3,1,83,6.99,3,Peanutbutter,18%,Hard
9,3,2,83,9.99,3,Neutral,18%,Hard
9,3,3,83,9.99,1.5,Peanutbutter,18%,Crumbly
9,4,1,84,9.99,3,Neutral,20%,Crumbly
9,4,2,84,6.99,3,Peanutbutter,18%,Crumbly
9,4,3,84,6.99,3,Neutral,18%,Hard
9,5,1,85,6.99,5,Peanutbutter,22%,Hard
9,5,2,85,15,1.5,Peanutbutter,20%,Crumbly
9,5,3,85,6.99,5,Neutral,18%,Crumbly
9,6,1,86,9.99,1.5,Neutral,20%,Crumbly
9,6,2,86,9.99,1.5,Peanutbutter,22%,Hard
9,6,3,86,15,1.5,Neutral,22%,Hard
9,7,1,87,9.99,5,Neutral,22%,Hard
9,7,2,87,15,3,Neutral,20%,Hard
9,7,3,87,6.99,3,Peanutbutter,18%,Crumbly
9,8,1,88,6.99,5,Neutral,22%,Crumbly
9,8,2,88,9.99,5,Neutral,20%,Crumbly
9,8,3,88,9.99,5,Neutral,20%,Hard
9,9,1,89,6.99,5,Peanutbutter,20%,Crumbly
9,9,2,89,6.99,1.5,Peanutbutter,22%,Crumbly
9,9,3,89,6.99,3,Peanutbutter,22%,Crumbly
9,10,1,90,6.99,1.5,Peanutbutter,20%,Crumbly
9,10,2,90,15,1.5,Peanutbutter,22%,Hard
9,10,3,90,15,3,Peanutbutter,22%,Hard
10,1,1,91,9.99,1.5,Peanutbutter,20%,Crumbly
10,1,2,91,15,5,Peanutbutter,22%,Hard
10,1,3,91,6.99,3,Neutral,22%,Crumbly
10,2,1,92,15,3,Peanutbutter,22%,Hard
10,2,2,92,9.99,1.5,Neutral,20%,Hard
10,2,3,92,6.99,1.5,Neutral,22%,Hard
10,3,1,93,6.99,3,Neutral,20%,Crumbly
10,3,2,93,15,3,Peanutbutter,20%,Crumbly
10,3,3,93,9.99,3,Neutral,22%,Crumbly
10,4,1,94,9.99,5,Peanutbutter,22%,Crumbly
10,4,2,94,9.99,1.5,Peanutbutter,20%,Crumbly
10,4,3,94,15,5,Neutral,22%,Hard
10,5,1,95,15,3,Neutral,18%,Hard
10,5,2,95,9.99,5,Peanutbutter,18%,Crumbly
10,5,3,95,9.99,3,Neutral,18%,Hard
10,6,1,96,9.99,1.5,Neutral,18%,Hard
10,6,2,96,9.99,5,Neutral,20%,Hard
10,6,3,96,9.99,3,Peanutbutter,20%,Crumbly
10,7,1,97,6.99,1.5,Neutral,18%,Hard
10,7,2,97,9.99,3,Neutral,22%,Crumbly
10,7,3,97,9.99,1.5,Peanutbutter,20%,Crumbly
10,8,1,98,15,3,Neutral,22%,Hard
10,8,2,98,15,5,Neutral,20%,Crumbly
10,8,3,98,15,5,Peanutbutter,20%,Crumbly
10,9,1,99,9.99,1.5,Peanutbutter,20%,Crumbly
10,9,2,99,9.99,3,Neutral,18%,Hard
10,9,3,99,9.99,3,Neutral,22%,Crumbly
10,10,1,100,9.99,3,Neutral,18%,Crumbly
10,10,2,100,9.99,5,Neutral,20%,Hard
10,10,3,100,15,1.5,Neutral,20%,Crumbly
11,1,1,101,15,5,Neutral,18%,Hard
11,1,2,101,15,3,Neutral,20%,Crumbly
11,1,3,101,15,1.5,Peanutbutter,18%,Crumbly
11,2,1,102,6.99,5,Peanutbutter,22%,Hard
11,2,2,102,6.99,3,Peanutbutter,20%,Crumbly
11,2,3,102,15,5,Peanutbutter,18%,Hard
11,3,1,103,9.99,3,Neutral,20%,Hard
11,3,2,103,6.99,3,Peanutbutter,20%,Crumbly
11,3,3,103,15,1.5,Peanutbutter,22%,Hard
11,4,1,104,6.99,3,Peanutbutter,18%,Hard
11,4,2,104,15,3,Neutral,20%,Crumbly
11,4,3,104,6.99,5,Peanutbutter,18%,Hard
11,5,1,105,6.99,3,Peanutbutter,22%,Crumbly
11,5,2,105,15,3,Neutral,22%,Crumbly
11,5,3,105,9.99,3,Neutral,22%,Hard
11,6,1,106,6.99,3,Peanutbutter,22%,Hard
11,6,2,106,15,1.5,Neutral,22%,Hard
11,6,3,106,6.99,1.5,Peanutbutter,22%,Crumbly
11,7,1,107,9.99,1.5,Peanutbutter,18%,Crumbly
11,7,2,107,6.99,5,Peanutbutter,22%,Crumbly
11,7,3,107,15,5,Peanutbutter,18%,Hard
11,8,1,108,15,5,Peanutbutter,22%,Crumbly
11,8,2,108,9.99,3,Peanutbutter,20%,Crumbly
11,8,3,108,9.99,1.5,Neutral,20%,Hard
11,9,1,109,15,5,Peanutbutter,22%,Hard
11,9,2,109,9.99,3,Neutral,22%,Crumbly
11,9,3,109,9.99,1.5,Neutral,20%,Hard
11,10,1,110,6.99,5,Neutral,22%,Hard
11,10,2,110,9.99,5,Neutral,22%,Hard
11,10,3,110,6.99,3,Neutral,18%,Crumbly
12,1,1,111,15,3,Peanutbutter,18%,Crumbly
12,1,2,111,6.99,1.5,Peanutbutter,18%,Hard
12,1,3,111,6.99,3,Neutral,20%,Hard
12,2,1,112,9.99,5,Neutral,20%,Crumbly
12,2,2,112,15,3,Peanutbutter,20%,Hard
12,2,3,112,6.99,1.5,Peanutbutter,22%,Hard
12,3,1,113,9.99,1.5,Peanutbutter,22%,Hard
12,3,2,113,15,1.5,Peanutbutter,18%,Hard
12,3,3,113,9.99,1.5,Neutral,18%,Hard
12,4,1,114,9.99,3,Neutral,18%,Hard
12,4,2,114,9.99,1.5,Neutral,18%,Hard
12,4,3,114,15,5,Peanutbutter,20%,Hard
12,5,1,115,6.99,1.5,Peanutbutter,22%,Hard
12,5,2,115,6.99,5,Neutral,22%,Crumbly
12,5,3,115,6.99,1.5,Peanutbutter,18%,Hard
12,6,1,116,9.99,5,Peanutbutter,20%,Crumbly
12,6,2,116,6.99,5,Neutral,22%,Hard
12,6,3,116,15,5,Peanutbutter,20%,Crumbly
12,7,1,117,9.99,3,Peanutbutter,20%,Hard
12,7,2,117,6.99,5,Peanutbutter,18%,Hard
12,7,3,117,9.99,5,Neutral,20%,Hard
12,8,1,118,6.99,5,Peanutbutter,18%,Hard
12,8,2,118,15,1.5,Neutral,22%,Crumbly
12,8,3,118,6.99,1.5,Peanutbutter,18%,Hard
12,9,1,119,15,1.5,Peanutbutter,22%,Hard
12,9,2,119,15,5,Neutral,18%,Crumbly
12,9,3,119,9.99,3,Neutral,18%,Hard
12,10,1,120,9.99,1.5,Peanutbutter,18%,Hard
12,10,2,120,9.99,5,Peanutbutter,20%,Hard
12,10,3,120,9.99,1.5,Neutral,18%,Hard
13,1,1,121,15,3,Peanutbutter,18%,Hard
13,1,2,121,15,3,Neutral,22%,Crumbly
13,1,3,121,6.99,3,Neutral,18%,Crumbly
13,2,1,122,15,5,Neutral,18%,Hard
13,2,2,122,15,5,Neutral,22%,Hard
13,2,3,122,9.99,3,Neutral,20%,Crumbly
13,3,1,123,6.99,5,Neutral,20%,Crumbly
13,3,2,123,6.99,3,Neutral,22%,Crumbly
13,3,3,123,9.99,1.5,Neutral,22%,Crumbly
13,4,1,124,9.99,1.5,Peanutbutter,22%,Hard
13,4,2,124,6.99,3,Peanutbutter,22%,Hard
13,4,3,124,9.99,1.5,Peanutbutter,20%,Hard
13,5,1,125,6.99,3,Peanutbutter,20%,Hard
13,5,2,125,6.99,5,Neutral,20%,Crumbly
13,5,3,125,15,5,Neutral,20%,Hard
13,6,1,126,9.99,3,Neutral,22%,Hard
13,6,2,126,15,5,Neutral,22%,Hard
13,6,3,126,15,1.5,Neutral,18%,Crumbly
13,7,1,127,15,5,Peanutbutter,22%,Hard
13,7,2,127,15,1.5,Neutral,18%,Crumbly
13,7,3,127,9.99,1.5,Neutral,18%,Crumbly
13,8,1,128,9.99,3,Neutral,18%,Hard
13,8,2,128,15,5,Neutral,18%,Crumbly
13,8,3,128,9.99,5,Neutral,20%,Crumbly
13,9,1,129,15,5,Neutral,18%,Crumbly
13,9,2,129,6.99,1.5,Peanutbutter,20%,Crumbly
13,9,3,129,9.99,3,Neutral,20%,Crumbly
13,10,1,130,6.99,3,Neutral,18%,Crumbly
13,10,2,130,9.99,5,Peanutbutter,20%,Crumbly
13,10,3,130,6.99,5,Peanutbutter,18%,Hard
14,1,1,131,15,3,Neutral,22%,Hard
14,1,2,131,6.99,5,Peanutbutter,20%,Hard
14,1,3,131,15,1.5,Peanutbutter,20%,Hard
14,2,1,132,15,1.5,Neutral,22%,Hard
14,2,2,132,15,5,Peanutbutter,20%,Crumbly
14,2,3,132,9.99,3,Neutral,20%,Crumbly
14,3,1,133,9.99,5,Neutral,20%,Crumbly
14,3,2,133,6.99,1.5,Neutral,20%,Hard
14,3,3,133,9.99,1.5,Neutral,18%,Crumbly
14,4,1,134,15,5,Neutral,18%,Hard
14,4,2,134,9.99,5,Neutral,22%,Hard
14,4,3,134,6.99,1.5,Peanutbutter,18%,Hard
14,5,1,135,6.99,5,Peanutbutter,20%,Hard
14,5,2,135,6.99,3,Neutral,20%,Hard
14,5,3,135,6.99,1.5,Neutral,22%,Hard
14,6,1,136,9.99,5,Neutral,20%,Hard
14,6,2,136,9.99,1.5,Peanutbutter,22%,Crumbly
14,6,3,136,6.99,1.5,Neutral,18%,Hard
14,7,1,137,15,3,Peanutbutter,20%,Hard
14,7,2,137,15,1.5,Neutral,18%,Hard
14,7,3,137,9.99,3,Peanutbutter,22%,Hard
14,8,1,138,15,3,Peanutbutter,18%,Crumbly
14,8,2,138,6.99,3,Peanutbutter,20%,Crumbly
14,8,3,138,6.99,5,Peanutbutter,22%,Crumbly
14,9,1,139,9.99,3,Peanutbutter,18%,Crumbly
14,9,2,139,6.99,5,Peanutbutter,18%,Crumbly
14,9,3,139,15,3,Neutral,20%,Hard
14,10,1,140,9.99,1.5,Peanutbutter,18%,Hard
14,10,2,140,9.99,5,Peanutbutter,22%,Crumbly
14,10,3,140,15,1.5,Neutral,22%,Crumbly
15,1,1,141,15,1.5,Peanutbutter,22%,Crumbly
15,1,2,141,9.99,1.5,Peanutbutter,18%,Crumbly
15,1,3,141,15,1.5,Peanutbutter,18%,Crumbly
15,2,1,142,15,1.5,Neutral,20%,Hard
15,2,2,142,6.99,1.5,Peanutbutter,22%,Crumbly
15,2,3,142,15,3,Peanutbutter,20%,Hard
15,3,1,143,9.99,3,Peanutbutter,20%,Crumbly
15,3,2,143,15,1.5,Neutral,22%,Crumbly
15,3,3,143,15,5,Peanutbutter,22%,Hard
15,4,1,144,9.99,3,Peanutbutter,20%,Hard
15,4,2,144,6.99,5,Neutral,18%,Crumbly
15,4,3,144,15,5,Peanutbutter,18%,Hard
15,5,1,145,15,5,Peanutbutter,18%,Crumbly
15,5,2,145,6.99,5,Peanutbutter,20%,Crumbly
15,5,3,145,6.99,3,Neutral,20%,Hard
15,6,1,146,6.99,1.5,Neutral,20%,Crumbly
15,6,2,146,15,5,Neutral,22%,Hard
15,6,3,146,6.99,3,Peanutbutter,22%,Hard
15,7,1,147,15,1.5,Peanutbutter,20%,Crumbly
15,7,2,147,9.99,1.5,Neutral,22%,Hard
15,7,3,147,15,5,Peanutbutter,20%,Crumbly
15,8,1,148,9.99,3,Neutral,20%,Hard
15,8,2,148,15,3,Neutral,20%,Crumbly
15,8,3,148,15,3,Neutral,22%,Hard
15,9,1,149,6.99,3,Neutral,20%,Hard
15,9,2,149,9.99,5,Neutral,22%,Hard
15,9,3,149,6.99,1.5,Neutral,20%,Crumbly
15,10,1,150,15,3,Peanutbutter,22%,Crumbly
15,10,2,150,9.99,1.5,Peanutbutter,22%,Hard
15,10,3,150,15,3,Peanutbutter,20%,Hard
16,1,1,151,15,5,Neutral,20%,Crumbly
16,1,2,151,15,3,Neutral,22%,Crumbly
16,1,3,151,6.99,5,Peanutbutter,20%,Hard
16,2,1,152,15,5,Peanutbutter,22%,Hard
16,2,2,152,15,3,Neutral,18%,Crumbly
16,2,3,152,6.99,3,Neutral,20%,Crumbly
16,3,1,153,6.99,1.5,Peanutbutter,18%,Hard
16,3,2,153,15,1.5,Peanutbutter,20%,Hard
16,3,3,153,15,1.5,Peanutbutter,22%,Crumbly
16,4,1,154,9.99,3,Peanutbutter,20%,Crumbly
16,4,2,154,9.99,1.5,Neutral,22%,Hard
16,4,3,154,6.99,1.5,Peanutbutter,18%,Crumbly
16,5,1,155,6.99,3,Peanutbutter,22%,Hard
16,5,2,155,6.99,1.5,Peanutbutter,18%,Hard
16,5,3,155,9.99,3,Neutral,22%,Hard
16,6,1,156,6.99,3,Peanutbutter,18%,Crumbly
16,6,2,156,9.99,3,Peanutbutter,20%,Hard
16,6,3,156,9.99,1.5,Peanutbutter,20%,Hard
16,7,1,157,6.99,3,Peanutbutter,18%,Crumbly
16,7,2,157,6.99,3,Neutral,22%,Crumbly
16,7,3,157,6.99,1.5,Neutral,18%,Crumbly
16,8,1,158,6.99,5,Peanutbutter,22%,Hard
16,8,2,158,15,5,Neutral,20%,Hard
16,8,3,158,9.99,1.5,Peanutbutter,20%,Crumbly
16,9,1,159,15,5,Peanutbutter,22%,Crumbly
16,9,2,159,9.99,1.5,Peanutbutter,18%,Hard
16,9,3,159,15,5,Neutral,20%,Hard
16,10,1,160,9.99,1.5,Peanutbutter,18%,Crumbly
16,10,2,160,6.99,1.5,Peanutbutter,18%,Hard
16,10,3,160,6.99,5,Peanutbutter,22%,Crumbly
17,1,1,161,15,5,Neutral,20%,Crumbly
17,1,2,161,15,3,Peanutbutter,22%,Crumbly
17,1,3,161,6.99,1.5,Neutral,20%,Hard
17,2,1,162,9.99,3,Peanutbutter,20%,Crumbly
17,2,2,162,15,1.5,Peanutbutter,22%,Crumbly
17,2,3,162,9.99,3,Neutral,20%,Crumbly
17,3,1,163,9.99,1.5,Neutral,20%,Hard
17,3,2,163,15,5,Peanutbutter,20%,Hard
17,3,3,163,15,3,Neutral,22%,Crumbly
17,4,1,164,6.99,5,Peanutbutter,18%,Hard
17,4,2,164,9.99,1.5,Neutral,18%,Hard
